,GSM1369756,GSM1369757,GSM1369758,GSM1369759,GSM1369760,GSM1369761,GSM1369762,GSM1369763,GSM1369764,GSM1369765,GSM1369766,GSM1369767,GSM1369768,GSM1369769,GSM1369770,GSM1369771,GSM1369772,GSM1369773,GSM1369774,GSM1369775,GSM1369776,GSM1369777,GSM1369778,GSM1369779,GSM1369780,GSM1369781,GSM1369782,GSM1369783,GSM1369784,GSM1369785,GSM1369786,GSM1369787,GSM1369788,GSM1369789,GSM1369790,GSM1369791,GSM1369792,GSM1369793,GSM1369794,GSM1369795,GSM1369796,GSM1369797,GSM1369798,GSM1369799,GSM1369800,GSM1369801,GSM1369802,GSM1369803,GSM1369804,GSM1369805,GSM1369806,GSM1369807,GSM1369808,GSM1369809,GSM1369810,GSM1369811,GSM1369812,GSM1369813,GSM1369814,GSM1369815,GSM1369816,GSM1369817,GSM1369818,GSM1369819,GSM1369820,GSM1369821,GSM1369822,GSM1369823,GSM1369824,GSM1369825,GSM1369826,GSM1369827,GSM1369828,GSM1369829,GSM1369830,GSM1369831,GSM1369832,GSM1369833,GSM1369834,GSM1369835
AAMP,3.226018152,3.245083347,3.211635797,3.246604985,3.152255155,3.227839337,3.238228092,3.232867481,3.259135811,3.174572669,3.194032262,3.230598212,3.256496874,3.253359334,3.239678474,3.25599969,3.282476627,3.262037558,3.207451374,3.248631717,3.233388567,3.243430881,3.217693985,3.207793705,3.22763772,3.253566259,3.254224694,3.231396143,3.245934202,3.247474558,3.219777676,3.23761829,3.266829751,3.289559634,3.248311656,3.240023806,3.226107178,3.264227802,3.246323749,3.222960225,3.21506279,3.184662567,3.185874812,3.245626492,3.236921359,3.21144452,3.272458945,3.215453203,3.229995316,3.207125064,3.235728739,3.190565933,3.295585799,3.189428417,3.242095805,3.209228642,3.224528003,3.235397245,3.231089606,3.234752584,3.219886577,3.247259525,3.220931884,3.221033747,3.22763772,3.180393796,3.213156557,3.209028656,3.257991982,3.237376009,3.244752246,3.26387487,3.206188366,3.256696572,3.231927194,3.265312279,3.270521559,3.224435069,3.190941357,3.254859405
AANAT,2.655867508,2.707616769,2.622253507,2.637264639,2.627602874,2.654957615,2.609259241,2.670475205,2.63759537,2.679973813,2.623932536,2.682731023,2.680113173,2.671450676,2.649384653,2.688126293,2.676419613,2.679159445,2.62985617,2.763419124,2.657091748,2.659486186,2.680191879,2.697600165,2.646649473,2.609568709,2.667005996,2.664821028,2.746274362,2.678152392,2.687380282,2.711655448,2.644150671,2.690649256,2.658185324,2.696058524,2.682980036,2.634898773,2.663528481,2.676120665,2.625180209,2.670293105,2.691573049,2.658397088,2.666809768,2.673533647,2.701751177,2.610779245,2.654840621,2.673005047,2.65000027,2.664118164,2.688918944,2.676484227,2.651451045,2.651584921,2.638985484,2.70983529,2.663292325,2.655414568,2.705539153,2.621100181,2.623476991,2.679413609,2.676237162,2.71756394,2.673320939,2.628860865,2.681381226,2.629428158,2.691098241,2.660545329,2.672424548,2.659657103,2.649630188,2.700670112,2.674731209,2.620940873,2.647940512,2.655469591
AAR2,3.202525495,3.222063667,3.221776871,3.232117933,3.198919078,3.218251953,3.213066826,3.202341316,3.204198618,3.213358431,3.220105787,3.229061709,3.202137607,3.231221638,3.21389444,3.205903041,3.218827045,3.206583346,3.201958087,3.228589402,3.203917429,3.211130721,3.223496194,3.220842947,3.214102903,3.216069397,3.222960225,3.223265175,3.27733004,3.239261029,3.25768537,3.21832903,3.209228642,3.186088005,3.222166913,3.207992944,3.217027669,3.243430881,3.241924375,3.228066059,3.245157365,3.221568265,3.241060936,3.254859405,3.225405941,3.240023806,3.235818613,3.202723663,3.226649899,3.231596391,3.217103054,3.189698518,3.223918703,3.23031962,3.23726266,3.213358431,3.208820874,3.223830825,3.217693985,3.22763772,3.247474558,3.213560994,3.170504501,3.226018152,3.222166913,3.253359334,3.209996177,3.227091342,3.23031962,3.209898558,3.243926223,3.241383421,3.212778213,3.182573374,3.231089606,3.211832936,3.24572001,3.204198618,3.16935569,3.222493951
AARS,3.243743807,3.230598212,3.211531955,3.216827061,3.234449411,3.249945535,3.277450199,3.255261059,3.218827045,3.227339091,3.229562902,3.248727053,3.280642103,3.247778794,3.244988873,3.239909767,3.264227802,3.280421029,3.253136403,3.306221226,3.247617366,3.236580055,3.25105544,3.177577463,3.25599969,3.225924809,3.247053135,3.237376009,3.283424965,3.265419864,3.247053135,3.242896849,3.263088375,3.311677869,3.231313328,3.383484348,3.247665063,3.265740122,3.252820425,3.275794049,3.326113408,3.212868371,3.227528169,3.263214287,3.238320094,3.257882712,3.263356678,3.218530922,3.255070823,3.276022432,3.292870631,3.228066059,3.246741803,3.25223459,3.260234007,3.216206157,3.235074056,3.238765838,3.281160938,3.270745438,3.256907637,3.227954145,3.183932176,3.276875164,3.265093745,3.290284599,3.253359334,3.234752584,3.269294485,3.232446565,3.250943377,3.339049058,3.257991982,3.235186414,3.252922659,3.286832049,3.274312251,3.257126539,3.252126819,3.244988873
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,2.853958999,2.834804091,2.847285532,2.849605836,2.871391735,2.844211981,2.864551046,2.84370759,2.811502626,2.822511142,2.817612305,2.807945094,2.832800716,2.840081883,2.885924805,2.824087192,2.835422259,2.879964688,2.873363537,2.851660077,2.885229504,2.889124856,2.858347493,2.856235053,2.874302805,2.872616657,2.842157759,2.83014927,2.853671218,2.871491943,2.844737054,2.833317622,2.820516621,2.906045126,2.833670736,2.876162645,2.851105868,2.8364739,2.868091971,2.807450244,2.860800408,2.877028826,2.832763997,2.844880044,2.860295049,2.921348068,2.839282808,2.873559751,2.844880044,2.864949989,2.859182996,2.838148728,2.89474783,2.827590123,2.856186668,2.842310262,2.862144798,2.887857102,2.821098478,2.811269887,2.803434682,2.852817668,2.858208567,2.835422259,2.847062958,2.829455396,2.78876699,2.852817668,2.839482156,2.877656952,2.898107024,2.859974572,2.823340526,2.844302178,2.8797465,2.839065869,2.835775363,2.863572451,2.88321363,2.820396294
AASDHPPT,3.120557575,3.157291057,3.185503565,3.203523852,3.232021819,3.162711186,3.185163975,3.154507201,3.238639949,3.188273677,3.207401445,3.210845655,3.112910128,3.222391629,3.202137607,3.191279134,3.093023721,3.116937937,3.244323044,3.213772522,3.17068515,3.207793705,3.194032262,3.220105787,3.178097865,3.199280582,3.224174158,3.199478806,3.105048112,3.184009698,3.133144787,3.141809918,3.067525434,3.100015295,3.099647959,3.126422927,3.197246369,3.169800717,3.130452335,3.108125908,3.200858621,3.254121822,3.214546909,3.166893593,3.209996177,3.178549879,3.213358431,3.147021531,3.206082702,3.160429342,3.171641579,3.204093218,3.195601766,3.14857533,3.194834402,3.211727821,3.227954145,3.208362391,3.24150161,3.14418969,3.196138514,3.18660074,3.22287918,3.206792772,3.232446565,3.075538559,3.109152579,3.164351025,3.135031112,3.216069397,3.149351079,3.03604742,3.181810432,3.129285835,3.181730395,3.115754485,3.174836267,3.196866267,3.187031749,3.156875708
AASS,2.580070327,2.600206002,2.650421261,2.632714446,2.594980746,2.596381145,2.586446576,2.614187185,2.6069235,2.594648334,2.630284438,2.584714849,2.594897597,2.611110909,2.588657924,2.584304685,2.630726478,2.601688393,2.622521527,2.584714849,2.590591132,2.603800422,2.594125801,2.588942698,2.608410919,2.624592569,2.595345819,2.587225273,2.611349122,2.601688393,2.609159266,2.596016265,2.582479155,2.580622563,2.613663685,2.593301213,2.612920971,2.586824489,2.586258736,2.594487943,2.603710007,2.605331991,2.622370183,2.609968222,2.597273699,2.596644921,2.614507335,2.635521114,2.597690169,2.601343583,2.577233034,2.621399733,2.599592494,2.605576962,2.585407271,2.618391168,2.599302572,2.594125801,2.602776267,2.593570727,2.594648334,2.615422759,2.603902372,2.593301213,2.615501073,2.63625841,2.612769693,2.601688393,2.600986493,2.603369011,2.618859204,2.596016265,2.608088001,2.602586904,2.589557578,2.586062512,2.599302572,2.604719135,2.584086679,2.594571918
AATF,3.274538723,3.322680073,3.333730521,3.311311838,3.239261029,3.333794471,3.266061369,3.301274218,3.316392401,3.325170192,3.327024874,3.322531284,3.29760085,3.35083709,3.31932408,3.31692128,3.290408073,3.35083709,3.348403466,3.298675324,3.298197904,3.289467227,3.265093745,3.273986273,3.297114756,3.297114756,3.285217545,3.273150769,3.305976797,3.292282558,3.292870631,3.316392401,3.309206928,3.273654819,3.325037722,3.314967557,3.283646324,3.29676523,3.283746419,3.286628877,3.316661633,3.246852298,3.313456933,3.315356079,3.303259443,3.296043692,3.296984776,3.313083583,3.317291997,3.287541146,3.307167049,3.293591157,3.34591414,3.311948293,3.3067038,3.293881446,3.280700835,3.293591157,3.274671063,3.284846151,3.283424965,3.327024874,3.295708827,3.277786854,3.286724394,3.328382909,3.28508918,3.308949191,3.318959491,3.303613362,3.3360356,3.325037722,3.307452344,3.300934275,3.317820575,3.332323294,3.303201211,3.282018579,3.300678908,3.298762911
AATK,3.120641566,3.08490724,3.091864952,3.081655436,3.053724609,3.04801244,3.09661503,2.986404965,3.070766196,3.090697583,3.05742952,3.068832177,3.045541734,3.069110091,3.074124489,3.02953585,3.057232821,3.10989343,3.058533344,3.023711925,3.068898459,3.068365559,3.055185973,3.078082753,3.040360229,3.069322628,3.054510689,3.086203367,3.05144788,3.055442488,3.113766238,3.009316935,3.002455955,3.097983144,3.10378622,3.070486973,3.03440014,3.069251224,3.064501573,3.083974086,2.998880013,3.064114993,3.11741114,3.077556494,3.035107532,3.070297589,3.091864952,3.104269523,3.057169831,3.074863527,3.096082496,3.062163305,3.031512055,3.05742952,3.051261726,3.081576595,3.041318435,3.062092043,3.077382151,3.045667423,3.080958446,3.077037925,3.087832773,3.052391609,3.044304707,3.076571209,3.074273085,3.105463247,3.017542111,3.067400053,3.058533344,3.067741272,3.043973752,3.07036137,3.080575486,3.085337959,3.035289944,3.062703108,3.089560735,3.062887277
ABAT,3.009449893,2.965899857,2.98473788,2.834184228,2.869111779,3.040704184,2.995681445,2.961699336,2.950165309,3.025746836,3.010357506,2.926017167,2.955510017,2.937313584,2.977167094,2.995731205,2.954163613,2.990491976,3.002594979,3.034000621,3.025437053,2.995625124,2.948951385,3.012598306,3.010565938,2.930351428,3.057951911,3.001808669,2.895576269,2.981538669,2.970371,2.923413709,2.933495324,2.945991826,2.95070966,2.917545973,3.018319644,2.928802991,2.855603654,2.939834466,2.928248709,2.922176563,3.065849944,2.939020681,3.012102067,2.967034587,3.022246345,3.018249137,3.000851955,3.023209308,2.950380354,2.956606234,2.955983456,2.956386283,2.956771686,3.056363188,3.00869487,2.954382388,2.93525349,2.917411569,3.000404402,3.037584467,3.012284188,2.977761213,2.921968927,2.952416647,2.904614565,3.006565882,2.878557367,2.919135915,2.964018862,2.900251835,2.998757311,2.965221214,3.022695828,2.941242596,2.955287268,2.971408166,2.967255481,2.955456938
ABCA1,2.88777963,2.809499345,2.929791103,2.918633018,2.881538305,2.853351781,2.85514904,2.807397096,2.880490635,2.890472143,2.857645476,2.853351781,2.833218914,2.849331542,2.880019035,2.838918737,2.824628541,2.844492848,2.863217179,2.858764399,2.810351399,2.913395073,2.797847091,2.85430462,2.962746634,2.83074828,2.910327255,2.882583786,2.848894982,2.774765939,2.903067379,2.785930935,2.806444803,2.771923967,2.810825211,2.833670736,2.792607392,2.801635289,2.827638707,2.82349382,2.806825429,2.898260048,2.802513317,2.809214459,2.857326473,2.862047594,2.873512494,2.86656136,2.965899857,2.821144634,2.875517668,2.864043336,2.793362635,2.832202491,2.875140173,2.847285532,2.848988991,2.893846142,2.925956829,2.804387764,2.853909521,2.86757382,2.901414549,2.883345815,2.84180286,2.844167302,2.857464638,2.861448635,2.808124735,2.8915469,2.872881371,2.827285755,2.848487453,2.9216484,2.881389035,2.853581585,2.839917756,2.870989122,2.933495324,2.888902378
ABCA11P,2.58996043,2.617845638,2.593570727,2.623476991,2.613012074,2.641713427,2.621863749,2.662584057,2.608655643,2.61980423,2.647172584,2.612499636,2.659994756,2.651001342,2.633728283,2.640553356,2.644798318,2.619528519,2.655538954,2.691899999,2.626745387,2.635316811,2.641845979,2.649384653,2.636897692,2.62731792,2.600739235,2.614587411,2.65209228,2.649183652,2.626250873,2.622807091,2.649568063,2.617884929,2.639308353,2.616042568,2.631391659,2.636897692,2.621100181,2.637456197,2.674731209,2.603113047,2.624077608,2.621791798,2.691769284,2.613947983,2.63759537,2.651032095,2.625595351,2.646434059,2.696488933,2.634309909,2.70413309,2.636051881,2.646368335,2.60727141,2.593759793,2.645914886,2.64493782,2.644222689,2.657823641,2.641434593,2.637456197,2.656133215,2.665698194,2.60161456,2.628555804,2.647518841,2.625180209,2.644736955,2.651262702,2.641505571,2.629342596,2.645054411,2.653249736,2.623476991,2.646114706,2.648281266,2.591332411,2.651001342
ABCA12,2.566768086,2.560973516,2.584086679,2.579471642,2.587838155,2.592849468,2.575456477,2.578933253,2.555969035,2.572706865,2.531175148,2.559499777,2.583352452,2.572392611,2.585113991,2.57175347,2.58963569,2.549296822,2.548297358,2.573814515,2.574346651,2.565451868,2.558056149,2.557789027,2.586258736,2.568290879,2.570162482,2.573814515,2.593489451,2.590101943,2.560836723,2.575646835,2.591058847,2.565324457,2.588657924,2.561194655,2.568745539,2.581517634,2.603113047,2.620863543,2.569554484,2.576862219,2.580269076,2.571863899,2.581894114,2.588470259,2.569444898,2.539849216,2.569554484,2.579471642,2.548448719,2.579967559,2.575835278,2.573814515,2.595420233,2.576139303,2.532583356,2.563858381,2.589121126,2.54616333,2.555969035,2.540938283,2.554986858,2.578126375,2.571347419,2.57654252,2.561447456,2.549177876,2.56055291,2.557789027,2.579577321,2.570162482,2.557382712,2.565698155,2.583765658,2.598687213,2.565451868,2.545616134,2.549177876,2.54535202
ABCA2,2.819906842,2.826674443,2.825929859,2.828062243,2.819089816,2.830972338,2.806488938,2.820811805,2.839433746,2.803912769,2.80476785,2.830304435,2.828294908,2.809358217,2.821338498,2.822358926,2.839065869,2.850167247,2.794335767,2.82563119,2.831102172,2.824268036,2.823632113,2.801817999,2.804299651,2.840273833,2.812589011,2.812779803,2.842788411,2.84782893,2.834382155,2.878406734,2.843057532,2.832535722,2.848627856,2.844167302,2.842495571,2.827919441,2.842359326,2.845588187,2.829690445,2.825588026,2.799173965,2.826329182,2.816488159,2.84782893,2.813266719,2.791205667,2.804097953,2.811868506,2.810882668,2.81934973,2.840123687,2.821836145,2.80603362,2.820720314,2.796178485,2.815960781,2.816261607,2.837568786,2.809074534,2.805693262,2.803956271,2.826674443,2.815531299,2.801766019,2.822215629,2.822787728,2.841059611,2.814251073,2.813064546,2.854602384,2.824268036,2.847558198,2.816787462,2.841103059,2.821794806,2.815005334,2.81881805,2.8285939
ABCA3,2.760770499,2.642758766,2.657884771,2.644488451,2.750862164,2.69339826,2.6842893,2.732628885,2.738130589,2.69580954,2.653914749,2.684632988,2.746730672,2.676120665,2.721183501,2.696823838,2.715623587,2.754953167,2.677943192,2.760872617,2.723354195,2.73757269,2.704613227,2.715429827,2.718010233,2.691405513,2.713246085,2.714845156,2.704079395,2.710042739,2.702132721,2.722586101,2.697488735,2.711091326,2.707434864,2.698630064,2.70000913,2.696886462,2.70359798,2.689852784,2.645129902,2.770451253,2.758553291,2.697987889,2.704905715,2.715463065,2.692536668,2.691275834,2.684412254,2.693463684,2.701090628,2.677528411,2.703846958,2.692178291,2.701913114,2.669167099,2.681689105,2.693120153,2.658342286,2.698779479,2.684227654,2.709623675,2.677099401,2.721183501,2.665161267,2.731988546,2.739968671,2.661644599,2.737827871,2.700729236,2.674926266,2.71088664,2.681057716,2.729944805,2.682086896,2.756994762,2.711470621,2.707826595,2.684709494,2.7351917
ABCA4,2.890925258,2.930661069,2.889171709,2.887011308,2.92191704,2.929852238,2.938865349,2.96478637,2.907744835,2.896602381,2.854178023,2.927666985,2.914010714,2.880299016,2.906886063,2.867341061,2.919043451,2.942540166,2.875416317,2.937199561,2.943847305,2.875189329,2.925653536,2.891447593,2.921479318,2.941787361,2.893227074,2.916496444,2.934671381,2.914010714,2.906045126,2.938710924,2.919135915,2.908291127,2.911921821,2.911921821,2.914245385,2.947870668,2.954604255,2.951737302,2.896503561,2.950958514,2.895859456,2.924050716,2.930239932,2.939782415,2.854050858,2.900342155,2.92848066,2.896849456,2.929588525,2.924050716,2.917847579,2.901458789,2.925491801,2.889991716,2.879964688,2.901739192,2.909135042,2.87424412,2.904926863,2.916601366,2.877502486,2.904827831,2.930184706,2.907270196,2.892338882,2.934726299,2.926309433,2.859544102,2.920674368,2.913549316,2.949449127,2.914670819,2.925327413,2.936249752,2.93525349,2.915588761,2.886510001,2.918004193
