,GSM1369756,GSM1369757,GSM1369758,GSM1369759,GSM1369760,GSM1369761,GSM1369762,GSM1369763,GSM1369764,GSM1369765,GSM1369766,GSM1369767,GSM1369768,GSM1369769,GSM1369770,GSM1369771,GSM1369772,GSM1369773,GSM1369774,GSM1369775,GSM1369776,GSM1369777,GSM1369778,GSM1369779,GSM1369780,GSM1369781,GSM1369782,GSM1369783,GSM1369784,GSM1369785,GSM1369786,GSM1369787,GSM1369788,GSM1369789,GSM1369790,GSM1369791,GSM1369792,GSM1369793,GSM1369794,GSM1369795,GSM1369796,GSM1369797,GSM1369798,GSM1369799,GSM1369800,GSM1369801,GSM1369802,GSM1369803,GSM1369804,GSM1369805,GSM1369806,GSM1369807,GSM1369808,GSM1369809,GSM1369810,GSM1369811,GSM1369812,GSM1369813,GSM1369814,GSM1369815,GSM1369816,GSM1369817,GSM1369818,GSM1369819,GSM1369820,GSM1369821,GSM1369822,GSM1369823,GSM1369824,GSM1369825,GSM1369826,GSM1369827,GSM1369828,GSM1369829,GSM1369830,GSM1369831,GSM1369832,GSM1369833,GSM1369834,GSM1369835
A1CF,2.978707191,2.965667818,2.944468637,2.938890073,2.947500164,2.942337856,2.983301395,2.983362753,2.946524509,2.989132203,2.972407877,2.934837888,2.946050292,2.936936319,2.934218523,2.945832681,2.959168973,2.96131174,2.989617522,2.960104847,2.960293179,2.973416431,2.942650935,2.911352651,2.965606557,2.919390249,2.959604088,2.962002842,3.00639412,2.939254389,2.95517969,2.981137774,2.912447408,2.993630886,2.907984272,3.053028079,2.954604255,2.957099067,2.929852238,2.912544528,2.943688772,2.995253877,2.943565478,2.924895238,2.932268904,2.972462895,2.972343632,2.994068515,2.944944929,3.01173524,2.970031766,2.933313149,2.913549316,3.009147426,2.937729126,2.941956493,2.925244661,2.947108699,2.965667818,2.95799051,2.997343845,2.983987785,2.928851484,2.959837523,2.952308889,2.971971931,2.975093088,2.982000814,2.898260048,2.932108513,2.996431514,2.977489267,2.920844983,2.939953196,2.969339184,3.024730404,2.975195773,2.932039236,2.960676538,2.978810617
A2M,2.715061355,2.759474783,2.723051328,2.732279251,2.716305513,2.740210673,2.722700595,2.733180416,2.734247211,2.720540332,2.698041984,2.708761878,2.761099225,2.700779877,2.730906429,2.709054148,2.721919849,2.736375297,2.716574471,2.699400841,2.733891315,2.72547013,2.73124605,2.713983003,2.729642472,2.738321435,2.729283323,2.724721937,2.761154568,2.756493676,2.730305384,2.74560611,2.733847704,2.75046707,2.711447569,2.724612344,2.729226507,2.723568568,2.751489278,2.73686808,2.727734726,2.727038333,2.716979226,2.746823396,2.693571463,2.723005748,2.705977926,2.734735818,2.760585358,2.729436453,2.701804456,2.745456423,2.70016957,2.779895826,2.70642903,2.708093621,2.736119638,2.732279251,2.759324252,2.713638439,2.723714333,2.749926283,2.715678144,2.704905715,2.801589415,2.721490244,2.719706287,2.724612344,2.7552989,2.69580954,2.709478179,2.729750867,2.748047355,2.737630987,2.714303121,2.746589815,2.761099225,2.728128335,2.714180273,2.695646679
A4GALT,2.903699285,2.894913344,2.903067379,2.853222173,2.909027198,2.937313584,2.885202,2.898353081,2.920322371,2.882263962,2.917247483,2.880299016,2.962307891,2.87945193,2.911293918,2.888670723,2.988794976,2.932217323,2.900212451,2.991080953,2.925001741,2.900212451,2.934571936,2.911293918,2.902274812,2.942389674,2.859718531,2.866889077,2.970607327,2.954438698,2.941180835,2.960833402,2.965606557,3.004196671,2.919085539,2.969339184,2.857554674,2.917197396,2.894421229,2.903554649,2.875416317,2.946152626,2.915128564,2.880692499,2.863078166,2.936073134,2.886166591,2.890701591,2.910472804,2.88245608,2.895285148,2.877802555,2.937729126,2.861662915,2.869111779,2.896466384,2.903255503,2.887547283,2.894704671,2.892635924,2.884545103,2.840003408,2.833713402,2.899397526,2.870501471,2.90818817,2.894018831,2.870594323,2.903649579,2.878710931,2.946679643,3.011479424,2.887195845,2.925956829,2.930564387,2.962002842,2.919162276,2.888507243,2.897586457,2.90082742
A4GNT,2.772019904,2.780330008,2.797625758,2.78243742,2.771830941,2.775056781,2.789673388,2.771454814,2.772019904,2.743330919,2.769355037,2.767053852,2.782634407,2.758802177,2.774335973,2.7610505,2.755996995,2.763553978,2.789477356,2.771175121,2.757479158,2.764978923,2.772454257,2.77413834,2.778840125,2.758145912,2.789673388,2.772969259,2.791941832,2.765883051,2.778443994,2.758187419,2.810436248,2.747152604,2.768956658,2.736277573,2.7970696,2.756245216,2.767140129,2.787610811,2.77944312,2.753368806,2.784783655,2.769854845,2.7934118,2.751532588,2.764678151,2.774583605,2.77889397,2.776737584,2.785890135,2.784593845,2.817220963,2.784502769,2.784216124,2.803021134,2.77816258,2.841145589,2.766666599,2.780514886,2.775438101,2.778186793,2.785930935,2.771855728,2.79381128,2.770201709,2.765660988,2.767276849,2.782672997,2.745001264,2.774536118,2.770837647,2.761099225,2.754071495,2.774487932,2.749001987,2.738979729,2.789438476,2.775480664,2.786762047
AAAS,3.103223617,3.105387238,3.087382655,3.097053418,3.083201676,3.109302438,3.088003772,3.10152024,3.121077022,3.117006694,3.066864873,3.137272317,3.177420864,3.119844369,3.102142776,3.049039069,3.172425418,3.106533656,3.09092159,3.055819388,3.097199223,3.111671609,3.062026153,3.074124489,3.076444341,3.100230688,3.105387238,3.107596108,3.115154958,3.136965847,3.140919521,3.166704056,3.163599216,3.159030676,3.141240314,3.142845712,3.117960106,3.156422819,3.149925533,3.143429822,3.072699316,3.054631997,3.121712112,3.127033943,3.120641566,3.125343389,3.091937508,3.102289095,3.079381951,3.133376949,3.108788364,3.071389314,3.146924843,3.110503477,3.095295584,3.093312676,3.081655436,3.102142776,3.08752682,3.148936235,3.095936596,3.09661503,3.109818965,3.101654954,3.081264891,3.128479315,3.09106938,3.140581132,3.150276275,3.117083977,3.134242806,3.199280582,3.121548465,3.094019258,3.126422927,3.154281943,3.105673661,3.0561001,3.09092159,3.093665361
AACS,2.957421499,2.964018862,2.989974174,2.976569591,2.95799051,2.988485657,2.974048756,2.912648626,2.946260638,2.996313536,2.995506838,2.982673645,3.01119455,2.994178565,2.966577444,3.081797882,2.976815057,3.063754776,2.995195171,3.011376112,2.939311267,3.01574163,2.971487687,2.98073023,2.974850193,3.00071989,2.975875791,2.969339184,2.973091849,2.959055838,2.979028063,2.964278846,2.987973882,3.028025532,2.946906862,3.000210812,2.967889761,2.960474365,2.98712115,2.95517969,3.006221335,2.98291802,2.964663089,3.015632958,2.991199413,3.026687386,2.997471067,2.934277776,2.967706304,2.984413532,2.953279138,2.98150396,2.964663089,2.96239237,2.972407877,2.997343845,2.981947656,3.001986494,3.014216623,2.989319013,2.976219175,2.951904341,2.983647739,2.984463804,2.935055819,2.974728054,2.964663089,2.959546204,2.97514015,2.993099326,2.939953196,2.953899362,2.969440524,2.964720927,2.934571936,2.946152626,2.957370282,2.948510955,2.918843598,2.974194205
AADAC,2.726419412,2.74930553,2.729461788,2.734929236,2.719325654,2.71688267,2.743972811,2.715539467,2.726153313,2.724376053,2.714641033,2.740933599,2.726926674,2.744027798,2.729691634,2.784087325,2.752296818,2.722586101,2.758749357,2.683334471,2.698998079,2.70282188,2.749194394,2.690369713,2.731294676,2.727685824,2.723307957,2.730000356,2.716728837,2.73948672,2.738280088,2.728128335,2.759189913,2.69225863,2.782333631,2.730000356,2.741264375,2.735544753,2.720145169,2.756096703,2.748717099,2.687613401,2.750066845,2.740297281,2.76910974,2.727186957,2.735334949,2.733415439,2.72028979,2.759425406,2.731056484,2.773499173,2.734247211,2.747290709,2.767458592,2.766865249,2.763941289,2.73276808,2.712548967,2.734000505,2.772769755,2.742416813,2.749882869,2.754905727,2.729798084,2.76950694,2.757084322,2.775959968,2.741495204,2.731742275,2.762317285,2.741933796,2.758145912,2.72129439,2.741737752,2.728768228,2.735095839,2.723379848,2.709421994,2.73147523
AAGAB,2.953245779,2.897586457,2.970264875,2.936012309,2.895285148,2.944249873,2.968611126,2.970429994,2.935363653,2.935219009,2.981244988,2.929588525,2.955233735,2.920371182,2.944249873,2.9481254,2.934109291,2.977761213,2.985564581,2.91321305,2.930865299,2.946152626,2.947380009,2.936989358,2.956034724,2.923413709,2.941242596,2.931121793,2.916496444,2.936832188,2.917352841,2.86573486,2.902871059,2.959546204,2.941956493,2.922122801,2.890796933,2.944468637,2.907744835,2.911642976,2.952308889,2.965560585,2.958423868,2.937870177,2.908971704,2.931281517,2.938914796,2.925327413,2.939834466,2.932995985,2.896263247,2.930239932,2.928269742,2.926115749,2.935055819,2.960629523,2.934837888,2.932645157,2.923152079,2.940334947,2.92772337,2.938029548,2.959333393,2.931345491,2.935418576,2.96239237,2.95060775,2.945552671,2.867197802,2.945886952,2.96500871,2.918106279,2.914189895,2.952143345,2.905071423,2.936134368,2.933495324,2.918792778,2.931281517,2.899150373
AAK1,2.847779102,2.840003408,2.814033881,2.837956791,2.837520416,2.825269608,2.837025283,2.847877379,2.82507603,2.825317121,2.817560388,2.848850102,2.854050858,2.83952553,2.841839864,2.855735281,2.849918816,2.861525478,2.82724175,2.834507328,2.845588187,2.821924927,2.81379466,2.824500943,2.839966866,2.831869737,2.82482748,2.828742,2.840225668,2.82935717,2.842310262,2.837664545,2.842157759,2.851413662,2.832345101,2.832535722,2.839707597,2.84151101,2.828342287,2.838277756,2.831771973,2.83956706,2.821383593,2.844211981,2.839966866,2.839482156,2.816511873,2.847018849,2.843294667,2.857787887,2.834184228,2.840966836,2.821424524,2.836434602,2.843057532,2.842640386,2.824777535,2.826390214,2.831544863,2.83432466,2.851278894,2.823290794,2.836053428,2.838540347,2.838046993,2.828781332,2.846074551,2.847238918,2.8364739,2.82718687,2.828873232,2.850749848,2.831492123,2.845486931,2.842596865,2.846477904,2.845294997,2.845541294,2.845294997,2.836095631
AAMDC,2.849772201,2.807140769,2.860610633,2.858637974,2.848216442,2.826817365,2.812108408,2.844636641,2.858953052,2.836927169,2.852183495,2.88262843,2.859887839,2.848216442,2.864551046,2.85339878,2.891930662,2.849605836,2.858444815,2.869894217,2.838836657,2.858953052,2.845252363,2.859718531,2.841931188,2.848588156,2.853760697,2.843383913,2.825317121,2.857691757,2.826964062,2.835541221,2.814251073,2.820849425,2.840966836,2.817220963,2.852271751,2.857382179,2.821001672,2.842694076,2.841235259,2.866028656,2.842119935,2.856456848,2.838148728,2.831771973,2.819553728,2.838683491,2.82563119,2.8403249,2.833170211,2.853812726,2.896642733,2.822466727,2.845541294,2.847511648,2.845402994,2.83582196,2.823672363,2.82915112,2.845631286,2.816064083,2.848432442,2.861212416,2.846038185,2.824358658,2.848162458,2.837956791,2.802979713,2.815005334,2.823245834,2.853084361,2.837246944,2.831239433,2.841372614,2.859001143,2.821465417,2.827135108,2.820622154,2.826817365
