"","GSM6206942","GSM6206943","GSM6206944","GSM6206945","GSM6206946","GSM6206947","GSM6206948","GSM6206949","GSM6206950","GSM6206951","GSM6206952","GSM6206953","GSM6206954","GSM6206955","GSM6206956","GSM6206957","GSM6206958","GSM6206959","GSM6206960","GSM6206961","GSM6206962","GSM6206963"
"A1BG-AS1",-0.454999294796081,-1.51105965386805,1.2104229532675,0.725017782463918,0.758141943039345,-1.36814577095336,-2.66079408204103,0.700517672952653,0.756063973530098,0.520207392611957,0.726810073081796,0.421099588285422,-2.097781791683,-1.7023079843223,-0.59231017086072,0.0114585044460881,-0.396528976665666,0.371568902771447,0.909274571361624,0.610179043505421,-0.547545778526817,-6.27830714714457
"A1CF",0.342060948146971,1.34774310470886,-0.287988941070273,0.407804485687863,-0.346213254270697,0.230802169494974,-0.225347776219823,-0.0547376488019638,-0.567449868904816,-1.2866024603997,2.44920718086842,0.951057693359163,-0.606518203777568,-0.0643880315708781,0.965598587444398,1.001390866191,-0.0993278623491703,-0.246455733552564,-0.078628067360673,-0.555454526656139,-0.127896113064756,-0.0848576699904799
"A2ML1",0.0763310067236515,0.434244543064209,-0.201650789465906,1.5580745714407,-0.174503064646861,0.284325337799076,2.65664320418309,-0.0758474070661398,-0.569859428812943,-1.17524721091641,-1.04775880962526,0.483743398106985,-0.49243413309445,-0.00512516094272292,-0.082034336820452,1.2236724762546,0.494865286417458,-0.169472918327775,-0.0207584087646093,-0.482156429658075,-0.17256703880386,-0.132524356330408
"A2MP1",-0.0336703580520364,0.177734394372497,-0.318631618268387,-1.06775076617198,-0.12708388588839,0.0927063459479052,1.79688567616286,0.877752222323414,-1.37389481932811,-0.115153629371509,-0.0885716800741172,-3.73669160692977,0.0292370008219394,0.5014241069964,-0.441886805551455,0.951057693359163,0.676836484293692,0.280959061299827,0.758441068346472,0.618919652152099,0.3408715017998,0.330036994108712
"A3GALT2",0.832680044772943,0.71775550554772,0.0252297829171779,0.128717658446887,-0.0331076033556342,0.284990254244268,-0.231610374463744,0.0894280703445569,-0.170362326879112,-0.381385473425696,-0.259716436601018,-0.283597906167139,-0.357904359216584,0.204792280412518,0.0559282698404191,0.00952980591485095,0.227365561444201,0.750951979608299,0.299905577859717,-0.1635154485619,0.0961105934895179,0.157280415417474
"A4GALT",-0.741071846493419,0.256742731951065,-0.894241547869838,-3.80237581009667,-2.17476348670658,-0.521630210652726,1.25274246792009,-0.609295732499021,0.288759857147952,0.0801134482543747,0.635483638709418,0.0791339530513039,0.549106838007178,0.935650687485554,0.877174326942729,1.28017901790134,1.03546890319096,-0.124049577785593,-0.145236928598904,0.399109421948482,-4.97919289969497,0.742867773974429
"A4GNT",0.534017284812622,0.523934603653994,0.205761046998794,0.228643021468595,0.158944190557614,0.262504548194083,-0.0325865620660971,-0.0665001665272277,-0.0225975054177388,-0.187275716946502,-0.126782191953721,-0.484292689317487,0.465155595052449,-0.0180936747548131,-0.0731228527042401,-0.0798836719250444,0.262311010421807,0.150554259310318,0.39621861726901,-0.0727317297453985,0.217625532910799,0.32463822354388
"AA06",0.509736728591191,1.15759991839334,0.0658773094573438,0.0961998688620303,-0.0446044786728722,0.290697911142734,-0.135102133421984,0.18835636661823,-0.116242985312956,0.00680193745156842,-0.311578852781929,-0.141641679134601,1.50836847021762,0.218818381651564,-0.0398294096501081,-0.0496482803863052,0.273924697653833,0.0510432168236883,0.275216765628521,-0.0235836339966614,0.941970913966079,0.825688141778479
"AAAS",-0.412500039366425,-0.924191794940114,0.801463416665912,-0.112528613222989,-0.586469888417679,-2.58475322462284,-1.32611584158618,1.11101738742516,0.2415529211449,0.276532051645867,0.394030587336465,1.17590871149644,0.067712830571859,-0.604113981221848,-0.411832512805933,-0.138806383298975,0.142620524356471,0.351960701761228,0.64011006350654,0.547073981790195,-0.336506611281737,0.37501623328151
"AACSP1",1.57816867388138,0.21300268902425,-0.725474194331949,-0.563119115623048,0.418187654150026,0.943149674225537,-1.27748434539454,0.396899786443837,0.715827418093851,0.35562064611534,-2.87999421283265,-1.81034476100248,0.601624531873039,-0.763596774306292,-0.894468399451786,-1.83991718313914,1.32863908152288,0.661792549442995,-0.260206458121592,-1.45560526703698,-0.49593751400622,1.37708380001114
"AADAC",0.156619498627609,0.426364042336682,-0.338263299125046,-0.311922424830195,-0.371768248538003,0.202611440534961,0.059353009982999,0.895079783248257,-0.847510184609932,-1.86163367080835,-1.40215830767974,-0.636984157673029,0.574575805035708,1.78997682971603,2.1236966914147,-0.267843176361226,-0.15766541433477,1.1239098355902,-0.182638656332923,0.114648009451115,-0.207376167674764,2.10610199772843
